the: 66964
be: 33636...    to: 22788...    of: 16244...    and: 13744...    a: 11236...    in: 9492...    that: 8708...    have: 7524...    I: 6928...    it: 6304
for: 5412...    not: 5260...    on: 4652...    with: 4356...    he: 4268...    as: 3892...    do: 3644...    you: 3640...    at: 3388...    this: 3220
but: 3068...    his: 2868...    by: 2804...    they: 2700...    from: 2660...    we: 2484...    say: 2440...    or: 2236...    her: 2220...    she: 2184
will: 2104...    my: 2064...    an: 1956...    all: 1956...    one: 1900...    what: 1760...    their: 1724...    would: 1704...    out: 1696...    there: 1680
about: 1632...    so: 1628...    who: 1620...    if: 1584...    up: 1524...    get: 1488...    when: 1424...    which: 1360...    me: 1328...    go: 1292
make: 1268...    like: 1228...    can: 1208...    no: 1204...    just: 1204...    time: 1196...    some: 1196...    take: 1192...    into: 1172...    year: 1136
him: 1132...    know: 1128...    people: 1076...    your: 1044...    them: 1040...    other: 1016...    good: 1008...    see: 992...    than: 980...    could: 932
its: 908...    now: 896...    only: 884...    over: 884...    use: 864...    come: 852...    new: 840...    back: 836...    think: 816...    after: 796
look: 792...    then: 788...    give: 784...    even: 776...    first: 772...    work: 760...    any: 752...    day: 740...    two: 740...    also: 732
these: 724...    well: 704...    way: 700...    our: 688...    how: 672...    want: 660...    because: 656...    most: 640...    us: 608...    badorn: 604
baguka: 572...    babete: 568...    babork: 564...    bafa: 560...    badavu: 556...    bamive: 552...    bado: 548...    bafift: 540...    bagashfi: 532...    bagend: 524
babe: 520...    bada: 520...    balu: 516...    bagimpzu: 512...    bafoze: 508...    bagomo: 508...    bagempra: 508...    bamamp: 508...    badu: 508...    bakickvo: 504
badeftbe: 500...    banulsmi: 500...    bafubo: 496...    bagast: 496...    bafils: 496...    baling: 492...    badushfu: 492...    babels: 492...    bale: 488...    badozu: 488
bafeth: 484...    badefo: 484...    babupt: 484...    bakestri: 484...    baguso: 484...    bana: 480...    bafore: 480...    badulo: 476...    badesh: 472...    badingte: 468
bage: 468...    bagufi: 468...    bade: 464...    bagata: 464...    bagida: 464...    bakulm: 464...    baku: 464...    bape: 460...    batorn: 456...    bafo: 456
bakulmbi: 452...    banand: 448...    baluptnu: 448...    bafark: 448...    banushtu: 444...    batelsnu: 444...    baboshgu: 444...    bake: 444...    badils: 444...    bakong: 444
baka: 440...    bagand: 440...    beboft: 436...    bafang: 436...    bami: 436...    bapels: 436...    baking: 436...    bafish: 436...    bafolste: 436...    banund: 432
bago: 432...    bakuckre: 432...    bavike: 432...    balint: 432...    bakorkvo: 432...    bapoft: 428...    basuls: 428...    bateshbe: 428...    banage: 428...    babu: 420
bapo: 420...    balurd: 420...    banerkri: 420...    bagint: 420...    bamuth: 420...    baki: 416...    banipt: 416...    banito: 416...    bakishsa: 416...    bafungle: 412
banush: 412...    beme: 412...    bazuftsa: 412...    bapontpa: 412...    bapirn: 408...    bamick: 408...    basingmu: 404...    bame: 404...    bavest: 404...    baralm: 400
bakipt: 400...    beleckma: 400...    bafordbi: 400...    begaptva: 396...    bavintle: 396...    basobe: 392...    basu: 392...    barond: 392...    baze: 388...    baneto: 388
bebund: 388...    bati: 388...    baforn: 388...    barirkzo: 388...    barethve: 388...    bapafi: 384...    bekashfi: 384...    baloth: 384...    bebust: 384...    bani: 384
bare: 384...    bavu: 384...    bata: 384...    barent: 380...    bamoki: 380...    baruthgo: 380...    bapint: 380...    bazasu: 380...    basirngu: 380...    bavond: 376
bekornke: 376...    baporn: 376...    bavo: 372...    batoth: 372...    bazo: 372...    bedabi: 372...    beke: 372...    bavite: 368...    bemurd: 368...    bepark: 368
bavi: 368...    bamu: 368...    barafu: 368...    baselssu: 368...    baraso: 368...    bapoth: 368...    bavedi: 368...    bazarn: 364...    begerk: 364...    baluthka: 364
